사고연도,사고월,가스구분,공급자취급부주의,기타(1-3급),사용자취급부주의,시설미비,제품노후(고장),타공사,교통사고
2021,01,LPG,0,1,3,0,2,0,0
2021,01,도시가스,0,1,0,0,1,1,0
2021,01,이동식부탄연소기(접합용기),0,0,5,0,0,0,0
2021,01,고압가스,0,0,0,0,1,0,0
2021,02,LPG,0,0,0,3,2,0,0
2021,02,도시가스,0,0,0,0,0,2,0
2021,02,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2021,03,LPG,0,0,0,0,1,1,0
2021,03,도시가스,0,0,0,2,0,0,0
2021,03,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2021,04,LPG,1,0,0,0,1,0,0
2021,04,도시가스,0,0,0,0,0,1,0
2021,04,고압가스,0,0,0,0,1,0,0
2021,05,LPG,0,0,2,0,0,0,0
2021,05,도시가스,0,0,0,0,0,1,0
2021,05,이동식부탄연소기(접합용기),0,0,2,0,1,0,0
2021,06,LPG,1,0,1,1,0,0,0
2021,06,도시가스,0,1,0,0,1,0,0
2021,06,고압가스,1,0,0,0,0,0,0
2021,07,LPG,0,2,0,0,0,0,0
2021,07,도시가스,0,0,0,1,0,1,0
2021,07,고압가스,0,0,0,1,1,0,0
2021,08,LPG,0,0,0,1,2,1,0
2021,08,고압가스,0,1,0,0,1,0,0
2021,08,이동식부탄연소기(접합용기),0,0,2,0,1,0,0
2021,09,고압가스,0,0,1,0,0,0,0
2021,10,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2021,10,고압가스,0,0,0,0,0,0,1
2021,11,LPG,0,0,2,3,0,0,0
2021,11,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2021,12,LPG,0,1,0,1,2,0,0
2021,12,도시가스,0,0,1,1,0,2,0
2021,12,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2022,01,LPG,0,0,2,2,0,0,0
2022,01,도시가스,0,1,1,0,0,0,0
2022,01,고압가스,0,0,0,0,1,0,0
2022,01,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2022,03,LPG,0,0,1,0,0,0,0
2022,04,LPG,0,1,1,0,1,0,0
2022,04,고압가스,1,1,0,0,0,0,0
2022,04,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2022,05,LPG,2,0,1,0,0,1,0
2022,05,도시가스,0,0,0,0,0,2,0
2022,05,고압가스,0,1,0,0,1,0,0
2022,06,LPG,1,0,0,1,0,0,0
2022,06,도시가스,0,0,0,0,1,0,0
2022,06,고압가스,1,0,0,0,1,0,0
2022,06,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2022,07,LPG,0,1,1,0,0,0,0
2022,07,도시가스,0,0,1,0,0,1,0
2022,07,이동식부탄연소기(접합용기),0,0,1,0,1,0,0
2022,08,LPG,0,0,0,3,1,0,0
2022,08,도시가스,0,0,0,0,0,1,0
2022,08,이동식부탄연소기(접합용기),0,0,1,0,1,0,0
2022,09,LPG,0,0,1,2,1,0,0
2022,09,고압가스,1,1,0,0,0,0,0
2022,09,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2022,10,LPG,0,0,1,2,0,1,0
2022,10,도시가스,0,0,1,0,0,1,0
2022,10,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2022,11,LPG,1,0,0,1,1,0,0
2022,11,이동식부탄연소기(접합용기),0,0,4,0,0,0,0
2022,12,LPG,1,0,0,1,0,0,1
2022,12,도시가스,0,0,0,2,0,1,0
2022,12,고압가스,0,0,0,0,0,0,1
2022,12,이동식부탄연소기(접합용기),0,1,1,0,0,0,0
2023,01,LPG,1,1,0,1,0,0,0
2023,01,도시가스,1,0,0,0,0,0,0
2023,02,LPG,0,0,0,1,0,0,0
2023,02,이동식부탄연소기(접합용기),0,1,1,0,0,0,0
2023,03,LPG,0,0,1,1,3,1,0
2023,03,도시가스,1,0,0,0,0,0,0
2023,03,고압가스,0,0,0,0,1,0,0
2023,04,LPG,0,1,0,3,0,0,0
2023,04,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2023,05,LPG,1,0,0,0,0,0,0
2023,05,도시가스,0,1,1,0,0,0,0
2023,05,고압가스,0,0,1,0,0,0,0
2023,06,고압가스,0,0,1,1,0,0,0
2023,06,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2023,07,LPG,0,0,0,1,0,0,0
2023,07,도시가스,0,0,0,2,0,0,0
2023,07,고압가스,0,1,0,1,0,0,0
2023,07,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2023,08,LPG,1,1,1,0,0,0,0
2023,08,고압가스,0,0,1,3,0,0,0
2023,08,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2023,09,LPG,1,1,1,0,2,1,1
2023,09,도시가스,0,0,0,0,0,2,0
2023,09,고압가스,0,0,1,0,0,0,0
2023,09,이동식부탄연소기(접합용기),0,0,1,0,1,0,0
2023,10,LPG,2,0,1,1,3,0,1
2023,10,도시가스,0,1,0,0,0,1,0
2023,10,고압가스,0,0,1,0,0,0,0
2023,10,이동식부탄연소기(접합용기),0,0,0,0,1,0,0
2023,11,LPG,3,0,0,0,1,0,0
2023,11,도시가스,0,0,0,1,0,0,0
2023,11,고압가스,0,0,0,2,0,0,0
2023,11,이동식부탄연소기(접합용기),0,0,3,0,0,0,0
2023,12,LPG,0,2,1,1,3,0,0
2023,12,도시가스,0,0,1,1,1,1,0
2023,12,고압가스,1,1,0,0,0,0,0
2023,12,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2024,01,LPG,2,0,2,1,1,0,0
2024,01,도시가스,0,0,0,1,0,0,0
2024,01,고압가스,1,0,0,0,0,0,0
2024,01,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2024,02,LPG,1,0,1,0,1,0,0
2024,02,도시가스,0,0,0,0,0,1,0
2024,02,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2024,03,도시가스,1,0,0,0,1,0,0
2024,04,LPG,0,0,1,1,0,0,1
2024,04,도시가스,1,0,0,0,0,0,0
2024,04,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2024,05,LPG,0,1,0,2,1,0,0
2024,05,도시가스,1,0,0,0,0,4,0
2024,05,고압가스,0,1,0,0,0,0,0
2024,06,LPG,0,0,1,1,2,0,0
2024,06,고압가스,0,0,0,0,1,0,0
2024,06,이동식부탄연소기(접합용기),0,0,0,0,1,0,0
2024,07,LPG,0,0,2,0,3,0,0
2024,07,도시가스,0,0,1,0,0,0,0
2024,07,고압가스,0,0,0,1,0,0,0
2024,08,LPG,0,0,1,1,1,0,0
2024,09,LPG,0,1,0,0,0,0,0
2024,09,도시가스,0,0,0,2,0,0,0
2024,09,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2024,10,LPG,0,0,1,0,0,0,0
2024,10,도시가스,0,1,0,0,0,0,0
2024,11,LPG,1,1,2,1,2,0,0
2024,12,LPG,1,1,0,2,1,0,0
2024,12,도시가스,0,0,0,2,0,1,0
2024,12,고압가스,0,1,0,1,0,0,0
2025,01,LPG,1,0,2,0,1,0,0
2025,01,도시가스,0,0,0,1,1,0,0
2025,02,LPG,1,0,1,0,1,0,0
2025,02,도시가스,1,0,0,0,0,0,0
2025,02,고압가스,0,0,1,1,0,0,0
2025,03,LPG,0,0,1,2,0,0,0
2025,03,고압가스,0,1,0,0,0,0,0
2025,04,LPG,0,0,2,0,0,0,0
2025,04,도시가스,0,0,0,1,0,0,0
2025,04,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2025,05,LPG,0,0,1,0,0,1,0
2025,05,이동식부탄연소기(접합용기),0,0,1,0,0,0,0
2025,06,LPG,0,0,0,1,0,0,0
2025,06,도시가스,0,0,0,0,0,2,0
2025,06,고압가스,0,0,0,1,0,0,0
2025,06,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2025,07,LPG,0,0,1,2,0,0,0
2025,07,도시가스,0,0,0,1,0,0,0
2025,08,LPG,1,0,2,0,0,1,0
2025,08,도시가스,0,0,1,0,0,0,0
2025,08,고압가스,0,0,0,1,0,0,0
2025,09,LPG,1,0,1,2,0,0,0
2025,09,이동식부탄연소기(접합용기),0,0,2,0,0,0,0
2025,10,LPG,0,0,1,0,0,2,0
2025,10,고압가스,0,0,1,0,1,0,0
